acc_year,occrrnc_dt,dght_cd,occrrnc_day_cd,dth_dnv_cnt,injpsn_cnt,se_dnv_cnt,sl_dnv_cnt,wnd_dnv_cnt,occrrnc_lc_sgg_cd,occrrnc_lc_sido_cd,acc_ty_lclas_cd,acc_ty_mlsfc_cd,acc_ty_cd,aslt_vtr_cd,road_frm_lclas_cd,road_frm_cd,wrngdo_isrty_vhcty_lclas_cd,dmge_isrty_vhcty_lclas_cd,occrrnc_lc_x_crd,occrrnc_lc_y_crd,lo_crd,la_crd
2014,2014022207,1,7,1,1,0,0,0,1101,1100,02,24,25,05 ,01,05,02,08,952410  ,1952687 ,126.96107409,37.57232433
2014,2014033108,1,2,1,1,0,0,0,1101,1100,02,22,22,99 ,01,Z1,08,01,958428  ,1942876 ,127.0297728,37.48419149
2014,2014041717,1,5,1,1,0,0,0,1101,1100,01,14,04,05 ,01,Z1,03,12,952270  ,1956520 ,126.95923769,37.6068671
2014,2014051900,2,2,1,1,0,0,0,1101,1100,01,11,01,05 ,01,05,01,12,954868  ,1952452 ,126.98892169,37.57033271
2014,2014062411,1,3,1,1,0,0,0,1101,1100,01,11,01,07 ,01,05,10,12,956149  ,1953102 ,127.00338842,37.57625321
2014,2014070101,2,3,1,1,0,0,0,1101,1100,03,31,32,05 ,01,05,05,##,957195  ,1953504 ,127.01521501,37.57992308
2014,2014080601,2,4,1,1,0,0,0,1101,1100,01,11,01,05 ,01,Z1,01,12,956945  ,1952634 ,127.0124303,37.5720726
2014,2014081203,2,3,1,1,0,0,0,1101,1100,01,15,05,05 ,01,05,01,12,955848  ,1952506 ,127.0000168,37.57086245
2014,2014101304,2,2,1,1,0,0,0,1101,1100,01,11,01,03 ,01,Z1,03,12,952231  ,1956520 ,126.95879585,37.60686507
2014,2014102213,1,4,1,1,0,0,0,1101,1100,01,11,01,05 ,01,05,10,12,955070  ,1953254 ,126.99115988,37.57757118
2014,2014123002,2,3,1,4,3,0,0,1101,1100,02,21,21,02 ,01,05,01,01,953306  ,1952397 ,126.97124103,37.56976271
2014,2014021701,2,2,1,1,0,0,0,1102,1100,02,22,22,03 ,02,06,08,01,954755  ,1951984 ,126.98767101,37.56610899
2014,2014022200,2,7,1,1,0,0,0,1102,1100,01,15,05,05 ,02,08,01,12,954759  ,1951955 ,126.98771809,37.5658478
2014,2014050515,1,2,1,1,0,0,0,1102,1100,02,24,25,03 ,02,06,01,05,953759  ,1950572 ,126.97648008,37.55333196
2014,2014050815,1,5,1,2,0,1,0,1102,1100,02,23,Z2,05 ,01,01,02,01,957151  ,1950143 ,127.01490863,37.5496302
2014,2014092603,2,6,1,2,0,0,1,1102,1100,02,23,Z2,05 ,01,04,03,04,955736  ,1949808 ,126.99891025,37.54654387
2014,2014101204,2,1,1,6,2,2,1,1102,1100,02,24,25,02 ,01,01,01,01,955818  ,1950697 ,126.99978606,37.55456419
2014,2014122502,2,5,1,1,0,0,0,1102,1100,03,31,32,05 ,01,04,07,##,954956  ,1951440 ,126.98998491,37.56121297
2014,2014010404,2,7,1,1,0,0,0,1103,1100,01,15,05,01 ,01,05,01,12,956574  ,1947891 ,127.00851444,37.52930532
2014,2014021312,1,5,1,1,0,0,0,1103,1100,02,21,21,03 ,02,06,05,01,952833  ,1948881 ,126.96610775,37.5380446
2014,2014052912,1,5,1,3,2,0,0,1103,1100,02,23,Z1,01 ,01,01,01,01,954808  ,1949605 ,126.98841544,37.54467273
2014,2014060801,2,1,1,1,0,0,0,1103,1100,01,11,01,01 ,Z3,Z3,01,12,952508  ,1947011 ,126.96254557,37.52117496
2014,2014071302,2,1,1,2,1,0,0,1103,1100,02,22,22,03 ,02,06,05,01,956511  ,1948361 ,127.00776907,37.53353857
2014,2014072116,1,2,1,1,0,0,0,1103,1100,03,31,32,05 ,01,05,05,##,954299  ,1946863 ,126.98282324,37.51993149
2014,2014072501,2,6,1,2,1,0,0,1103,1100,01,11,01,07 ,01,Z1,01,12,953717  ,1948484 ,126.97613856,37.53451116
2014,2014081912,1,3,1,1,0,0,0,1103,1100,02,24,25,05 ,02,06,10,01,955484  ,1948682 ,126.99613155,37.53638373
2014,2014011304,2,2,1,1,0,0,0,1104,1100,02,23,Z1,05 ,01,05,03,03,959433  ,1948919 ,127.0408133,37.53870484
2014,2014012318,2,5,1,1,0,0,0,1104,1100,01,15,05,05 ,01,05,01,12,958568  ,1951048 ,127.03089652,37.55785293
2014,2014013005,2,5,1,1,0,0,0,1104,1100,03,31,32,05 ,01,01,05,##,959334  ,1949393 ,127.0396597,37.54296825
2014,2014021516,1,7,1,1,0,0,0,1104,1100,02,24,25,05 ,01,05,05,05,958108  ,1950741 ,127.02570941,37.55506416
2014,2014031514,1,7,1,1,0,0,0,1104,1100,02,22,22,05 ,01,02,05,03,957589  ,1948853 ,127.01994161,37.53802334
2014,2014040301,2,5,1,2,1,0,0,1104,1100,02,23,Z1,05 ,01,02,01,03,961705  ,1950617 ,127.06643806,37.55410307
2014,2014053113,1,7,1,1,0,0,0,1104,1100,03,35,37,05 ,01,05,07,##,958532  ,1950159 ,127.03054147,37.54983761
2014,2014073003,2,4,1,1,0,0,0,1104,1100,03,31,32,05 ,01,05,01,##,962012  ,1950869 ,127.06990632,37.55638536
2014,2014102808,1,3,1,1,0,0,0,1104,1100,01,15,05,05 ,01,05,08,12,960662  ,1949460 ,127.05469196,37.54363071
2014,2014120904,2,3,1,1,0,0,0,1104,1100,02,24,25,05 ,01,05,01,01,958896  ,1949144 ,127.03471905,37.54070542
2014,2014121407,1,1,1,1,0,0,0,1104,1100,01,11,01,05 ,01,05,01,12,958609  ,1952016 ,127.03130833,37.56657873
2014,2014011307,1,2,1,1,0,0,0,1105,1100,01,15,05,03 ,02,06,03,12,960477  ,1954797 ,127.05231,37.59172671
2014,2014012803,2,3,1,1,0,0,0,1105,1100,01,12,02,05 ,01,05,01,12,961336  ,1954593 ,127.06205068,37.58992451
2014,2014032701,2,5,1,1,0,0,0,1105,1100,01,15,05,05 ,01,05,03,12,959691  ,1953594 ,127.04347208,37.58084786
2014,2014041211,1,7,1,1,0,0,0,1105,1100,01,11,01,05 ,01,Z1,03,12,959419  ,1953350 ,127.04040622,37.57863848
2014,2014041507,1,3,1,1,0,0,0,1105,1100,01,11,01,05 ,01,Z1,01,12,962624  ,1952568 ,127.0767429,37.57172581
2014,2014041807,1,6,1,3,2,0,0,1105,1100,02,24,25,05 ,02,06,01,02,959125  ,1954226 ,127.03702778,37.58652107
2014,2014042605,2,7,1,3,2,0,0,1105,1100,02,23,Z2,05 ,01,05,01,03,962035  ,1954598 ,127.06996783,37.58999868
2014,2014043023,2,4,1,2,1,0,0,1105,1100,01,11,01,05 ,02,06,07,12,960903  ,1952489 ,127.05725851,37.57094228
2014,2014050921,2,6,1,1,0,0,0,1105,1100,01,11,01,05 ,01,05,01,12,960823  ,1954409 ,127.05625446,37.58824077
2014,2014051705,2,7,1,1,0,0,0,1105,1100,01,11,01,05 ,01,05,01,12,958306  ,1953158 ,127.02781243,37.57685819
2014,2014060822,2,1,1,1,0,0,0,1105,1100,01,15,05,05 ,02,08,01,12,962480  ,1952182 ,127.075132,37.56824081
2014,2014061103,2,4,1,1,0,0,0,1105,1100,01,11,01,05 ,02,08,03,12,960657  ,1951894 ,127.05450478,37.56556889
2014,2014061207,1,5,1,1,0,0,0,1105,1100,02,24,25,04 ,01,05,08,01,958763  ,1952491 ,127.03302312,37.57086512
2014,2014062722,2,6,1,1,0,0,0,1105,1100,02,22,22,03 ,02,06,07,01,959900  ,1952820 ,127.04588257,37.57388253
2014,2014062802,2,7,1,1,0,0,0,1105,1100,01,13,03,05 ,Z3,Z3,01,12,961671  ,1951648 ,127.06599923,37.56339438
2014,2014072116,1,2,1,1,0,0,0,1105,1100,02,24,25,03 ,02,06,01,07,958536  ,1953261 ,127.03041129,37.57779694
2014,2014072604,2,7,1,1,0,0,0,1105,1100,01,11,01,05 ,02,06,01,12,961603  ,1952475 ,127.06518596,37.57084555
2014,2014082623,2,3,1,1,0,0,0,1105,1100,03,31,32,05 ,01,05,07,##,960268  ,1953935 ,127.04998943,37.58394828
2014,2014091520,2,2,1,2,0,1,0,1105,1100,01,11,01,05 ,01,05,05,12,960147  ,1954204 ,127.04860436,37.58636761
2014,2014092803,2,1,1,1,0,0,0,1105,1100,03,31,32,05 ,01,05,05,##,958915  ,1952747 ,127.03473679,37.57317844
2014,2014103002,2,5,1,1,0,0,0,1105,1100,03,35,37,05 ,01,05,05,##,961949  ,1954735 ,127.06898661,37.59122995
2014,2014110416,1,3,1,1,0,0,0,1105,1100,01,11,01,05 ,01,05,01,12,962427  ,1951946 ,127.07454396,37.56611151
2014,2014111602,2,1,1,1,0,0,0,1105,1100,01,11,01,03 ,01,05,01,12,962002  ,1952645 ,127.06969537,37.57239437
2014,2014112805,2,6,1,1,0,0,0,1105,1100,01,15,05,05 ,01,05,01,12,961039  ,1955043 ,127.05866269,37.59396794
2014,2014121221,2,6,1,1,0,0,0,1105,1100,02,24,25,05 ,01,05,05,02,961754  ,1951837 ,127.06692916,37.56510135
2014,2014121606,1,3,1,1,0,0,0,1105,1100,03,33,33,05 ,01,05,99,03,961523  ,1952673 ,127.06426965,37.57262685
2014,2014121921,2,6,1,1,0,0,0,1105,1100,01,15,05,05 ,01,05,01,12,959921  ,1953066 ,127.04610692,37.57610071
2014,2014010811,1,4,1,1,0,0,0,1106,1100,01,11,01,05 ,01,Z1,01,12,956628  ,1954573 ,127.00872578,37.58953433
2014,2014021205,2,4,1,1,0,0,0,1106,1100,02,23,Z2,05 ,01,05,07,03,956227  ,1954358 ,127.00419438,37.5875811
2014,2014021406,1,6,1,1,0,0,0,1106,1100,01,15,05,05 ,01,05,01,12,961493  ,1956810 ,127.06371231,37.60991347
2014,2014041516,1,3,1,1,0,0,0,1106,1100,01,15,05,99 ,01,05,03,12,959350  ,1957249 ,127.03940823,37.61377801
2014,2014042301,2,4,1,2,1,0,0,1106,1100,02,22,22,02 ,02,08,01,05,961243  ,1956488 ,127.06089693,37.6070007
2014,2014051505,2,5,1,1,0,0,0,1106,1100,01,15,05,01 ,01,05,01,12,958143  ,1956256 ,127.02578936,37.60477374
2014,2014052007,1,3,1,1,0,0,0,1106,1100,01,11,01,05 ,01,05,03,12,960380  ,1957460 ,127.05106706,37.61572477
2014,2014061003,2,3,1,1,0,0,0,1106,1100,03,31,32,05 ,01,05,07,##,955875  ,1956688 ,127.00006932,37.60856138
2014,2014061704,2,3,1,1,0,0,0,1106,1100,02,22,22,05 ,01,05,05,01,959928  ,1957796 ,127.04592719,37.61873361
2014,2014062008,1,6,1,1,0,0,0,1106,1100,01,11,01,02 ,01,05,10,12,958386  ,1953732 ,127.0286858,37.58203541
2014,2014090517,1,6,1,1,0,0,0,1106,1100,02,24,25,02 ,02,08,01,05,955838  ,1956701 ,126.99964934,37.60867678
2014,2014090802,2,2,1,1,0,0,0,1106,1100,01,15,05,05 ,01,05,01,12,958094  ,1956017 ,127.02524453,37.60261914
2014,2014100916,1,5,1,1,0,0,0,1106,1100,02,23,Z1,05 ,02,08,05,03,961365  ,1956951 ,127.06225465,37.61117896
2014,2014102222,2,4,1,1,0,0,0,1106,1100,03,31,32,05 ,01,05,01,##,955712  ,1956745 ,126.99822029,37.6090682
2014,2014110712,1,6,1,2,1,0,0,1106,1100,01,14,04,99 ,02,08,01,12,955826  ,1956607 ,126.99952358,37.60783169
2014,2014110900,2,1,1,1,0,0,0,1106,1100,02,22,22,03 ,02,06,08,01,960760  ,1957083 ,127.05539294,37.61234308
2014,2014122420,2,4,1,1,0,0,0,1106,1100,01,12,02,05 ,01,Z1,02,12,958057  ,1956187 ,127.02481903,37.60414791
2014,2014011604,2,5,1,1,0,0,0,1107,1100,01,15,05,05 ,01,05,01,12,958542  ,1961064 ,127.03003684,37.64812713
2014,2014020119,2,7,1,2,1,0,0,1107,1100,01,11,01,05 ,01,Z1,01,12,959587  ,1961217 ,127.04186949,37.64955182
2014,2014020804,2,7,1,1,0,0,0,1107,1100,01,15,05,05 ,01,Z1,07,12,959687  ,1963031 ,127.04290737,37.66590697
2014,2014022305,2,1,1,1,0,0,0,1107,1100,01,15,05,05 ,01,05,03,12,959707  ,1963618 ,127.04310171,37.67119855
2014,2014040110,1,3,1,1,0,0,0,1107,1100,01,11,01,05 ,02,08,10,12,959164  ,1963439 ,127.03695462,37.66956119
2014,2014051409,1,4,1,1,0,0,0,1107,1100,01,11,01,03 ,02,06,02,12,958433  ,1960664 ,127.0288229,37.64451875
2014,2014070521,2,7,1,1,0,0,0,1107,1100,01,15,05,05 ,01,05,01,12,958979  ,1961408 ,127.03497343,37.65124459
2014,2014072421,2,5,1,1,0,0,0,1107,1100,02,22,22,03 ,02,06,07,02,959956  ,1965411 ,127.04582662,37.68736996
2014,2014080810,1,6,1,3,0,1,1,1107,1100,01,15,05,05 ,01,05,03,12,959752  ,1964190 ,127.04358039,37.67635603
2014,2014081703,2,1,1,2,0,1,0,1107,1100,01,11,01,01 ,02,08,01,12,959916  ,1964649 ,127.04541488,37.68050023
2014,2014090418,2,5,1,1,0,0,0,1107,1100,02,24,25,05 ,01,05,99,08,959769  ,1960810 ,127.04395505,37.64588966
2014,2014091804,2,5,1,1,0,0,0,1107,1100,01,11,01,05 ,02,06,03,12,959964  ,1965033 ,127.04593813,37.68396336
2014,2014110407,1,3,1,1,0,0,0,1107,1100,02,22,22,05 ,02,08,02,08,958151  ,1960979 ,127.02560953,37.64734328
2014,2014122421,2,4,1,1,0,0,0,1107,1100,01,11,01,05 ,02,06,01,12,959901  ,1964664 ,127.04524395,37.68063477
2014,2014031522,2,7,1,1,0,0,0,1108,1100,02,22,22,03 ,02,06,01,05,948618  ,1957352 ,126.91780539,37.6141691
2014,2014042004,2,1,1,3,2,0,0,1108,1100,01,11,01,07 ,01,Z1,01,12,948652  ,1954576 ,126.91838317,37.58915078
2014,2014050214,1,6,1,2,0,1,0,1108,1100,01,11,01,07 ,01,Z1,05,12,949243  ,1958058 ,126.92483774,37.62056703
2014,2014052023,2,3,1,1,0,0,0,1108,1100,01,12,02,05 ,01,05,02,12,946354  ,1953994 ,126.89240013,37.58377408
2014,2014052523,2,1,1,1,0,0,0,1108,1100,01,15,05,05 ,01,Z1,02,12,947159  ,1953370 ,126.9015622,37.57819652
2014,2014060907,1,2,1,8,0,6,1,1108,1100,02,21,21,02 ,01,05,05,02,948797  ,1958370 ,126.91976219,37.62335435
2014,2014062301,2,2,1,3,2,0,0,1108,1100,02,23,Z2,05 ,01,05,01,01,946613  ,1953822 ,126.89534598,37.5822389
2014,2014082906,1,6,1,1,0,0,0,1108,1100,01,12,02,05 ,02,08,02,12,947988  ,1956615 ,126.9107198,37.60749107
2014,2014112406,1,2,1,1,0,0,0,1108,1100,02,22,22,99 ,02,06,08,02,945892  ,1954372 ,126.88713982,37.58715395
2014,2014122021,2,7,1,3,2,0,0,1108,1100,02,22,22,02 ,01,05,01,01,950295  ,1961283 ,126.93653756,37.64968972
2014,2014123008,1,3,1,1,0,0,0,1108,1100,01,11,01,05 ,01,05,04,12,948921  ,1956693 ,126.92128446,37.6082464
2014,2014020211,1,1,1,5,3,1,0,1109,1100,02,21,21,05 ,01,05,01,03,951279  ,1952267 ,126.94829353,37.56848234
2014,2014022520,2,3,1,1,0,0,0,1109,1100,01,11,01,05 ,01,05,02,12,952415  ,1952580 ,126.96113874,37.57136649
2014,2014040502,2,7,1,3,0,2,0,1109,1100,02,21,21,02 ,01,03,05,01,952392  ,1952701 ,126.96086593,37.57245227
2014,2014042420,2,5,1,1,0,0,0,1109,1100,02,22,22,02 ,01,Z2,01,05,949662  ,1951955 ,126.92999952,37.56558684
2014,2014051920,2,2,1,3,2,0,0,1109,1100,02,21,21,02 ,01,05,07,02,950465  ,1955424 ,126.93886283,37.59689329
2014,2014052302,2,6,1,1,0,0,0,1109,1100,01,12,02,05 ,01,05,01,12,951562  ,1951014 ,126.95158082,37.55720379
2014,2014070204,2,4,1,1,0,0,0,1109,1100,01,11,01,05 ,01,Z1,02,12,949718  ,1951680 ,126.93065815,37.56310772
2014,2014092003,2,7,1,2,1,0,0,1109,1100,03,35,37,05 ,01,05,05,##,948697  ,1952496 ,126.91903745,37.57040157
2014,2014092215,1,2,1,1,0,0,0,1109,1100,02,24,25,05 ,01,05,08,02,950905  ,1954520 ,126.94390761,37.58876904
2014,2014101109,1,7,1,2,0,0,1,1109,1100,01,15,05,05 ,01,05,01,12,949179  ,1953535 ,126.92442445,37.57979382
2014,2014102605,2,1,1,2,0,1,0,1109,1100,02,23,Z2,05 ,01,03,02,10,951166  ,1952061 ,126.94702772,37.56661965
2014,2014111308,1,5,1,1,0,0,0,1109,1100,01,12,02,05 ,02,06,03,12,952753  ,1952121 ,126.96499016,37.56723962
2014,2014111604,2,1,1,1,0,0,0,1109,1100,01,11,01,01 ,02,06,01,12,952323  ,1952693 ,126.96008737,37.5723766
2014,2014112914,1,7,1,1,0,0,0,1109,1100,01,12,02,05 ,02,06,03,12,949688  ,1952126 ,126.93028676,37.56712142
2014,2014121706,1,4,1,1,0,0,0,1109,1100,01,11,01,05 ,01,Z2,02,12,948367  ,1952341 ,126.91531496,37.56899061
2014,2014122616,1,6,1,1,0,0,0,1109,1100,01,11,01,05 ,01,05,02,12,950436  ,1951341 ,126.93880945,37.56009389
2014,2014010303,2,6,1,1,0,0,0,1110,1100,03,31,32,05 ,01,05,01,##,950810  ,1948638 ,126.94322628,37.53574865
2014,2014010912,1,5,1,2,1,0,0,1110,1100,01,11,01,07 ,01,Z1,01,12,951927  ,1950430 ,126.95575149,37.55195922
2014,2014022206,1,7,1,1,0,0,0,1110,1100,02,22,22,03 ,02,06,05,01,951267  ,1949242 ,126.94835867,37.54121689
2014,2014022523,2,3,1,1,0,0,0,1110,1100,01,15,05,05 ,01,05,01,12,949584  ,1950256 ,126.92923774,37.55026118
2014,2014030706,1,6,1,1,0,0,0,1110,1100,02,21,21,03 ,02,06,02,05,950031  ,1949944 ,126.93432037,37.54747794
2014,2014040705,2,2,1,1,0,0,0,1110,1100,01,11,01,05 ,01,Z2,03,12,948582  ,1950513 ,126.91787768,37.55252669
2014,2014042405,2,5,2,2,0,0,0,1110,1100,03,34,31,04 ,01,05,01,##,943383  ,1952145 ,126.85889618,37.56693288
2014,2014050700,2,4,1,2,1,0,0,1110,1100,02,24,25,05 ,01,05,01,01,944669  ,1952535 ,126.87342689,37.57052433
2014,2014052907,1,5,1,2,1,0,0,1110,1100,02,21,21,05 ,Z3,Z3,08,08,945773  ,1953545 ,126.88585436,37.57969679
2014,2014071204,2,7,1,1,0,0,0,1110,1100,01,11,01,05 ,01,05,01,12,951369  ,1949609 ,126.9494889,37.54453012
2014,2014072205,2,3,1,2,1,0,0,1110,1100,01,11,01,05 ,Z3,Z3,01,12,950098  ,1950664 ,126.93503435,37.55397286
2014,2014082601,2,3,1,2,0,0,1,1110,1100,01,15,05,05 ,01,Z1,01,12,948768  ,1950673 ,126.91997218,37.55397915
2014,2014090108,1,2,1,1,0,0,0,1110,1100,01,15,05,05 ,01,05,02,12,950037  ,1950880 ,126.93432566,37.55591458
2014,2014091722,2,4,1,1,0,0,0,1110,1100,01,11,01,05 ,01,05,02,12,950034  ,1950599 ,126.93430516,37.5533853
2014,2014092222,2,2,1,1,0,0,0,1110,1100,02,24,25,05 ,01,05,08,01,950676  ,1948791 ,126.94169708,37.53712049
2014,2014101400,2,3,1,1,0,0,0,1110,1100,02,22,22,05 ,02,06,05,01,948711  ,1951109 ,126.91929639,37.5579057
2014,2014112804,2,6,1,1,0,0,0,1110,1100,01,11,01,05 ,01,Z2,01,12,949612  ,1951078 ,126.92949934,37.55767602
2014,2014121219,2,6,1,1,0,0,0,1110,1100,01,11,01,05 ,01,05,01,12,951969  ,1949270 ,126.95630291,37.54150611
2014,2014121621,2,3,1,1,0,0,0,1110,1100,01,11,01,03 ,01,Z2,02,12,949100  ,1950991 ,126.9237087,37.55686373
2014,2014030102,2,7,1,1,0,0,0,1111,1100,02,24,25,05 ,01,05,02,03,944529  ,1951055 ,126.8719536,37.55717662
2014,2014030806,1,7,1,1,0,0,0,1111,1100,01,14,04,05 ,01,Z1,02,12,939068  ,1951575 ,126.81008112,37.56151645
2014,2014031719,2,2,1,3,1,1,0,1111,1100,02,24,25,02 ,01,05,01,03,940165  ,1951654 ,126.8224971,37.56230492
2014,2014033000,2,1,2,2,0,0,0,1111,1100,01,11,01,05 ,01,05,02,12,939249  ,1951535 ,126.81213709,37.56116971
2014,2014040108,1,3,1,1,0,0,0,1111,1100,01,11,01,07 ,02,06,03,12,941113  ,1950057 ,126.83335987,37.54796962
2014,2014042909,1,3,1,1,0,0,0,1111,1100,02,24,25,03 ,02,08,02,08,938071  ,1953477 ,126.79863237,37.57859605
2014,2014042910,1,3,1,1,0,0,0,1111,1100,01,11,01,05 ,01,05,02,12,945002  ,1949934 ,126.8773927,37.54710136
2014,2014050200,2,6,1,7,5,1,0,1111,1100,02,24,25,03 ,02,06,01,01,941724  ,1949342 ,126.84033317,37.54156417
2014,2014050209,1,6,1,1,0,0,0,1111,1100,02,24,25,05 ,01,05,01,07,941876  ,1951198 ,126.84190659,37.55830189
2014,2014050219,2,6,1,1,0,0,0,1111,1100,02,24,25,99 ,01,Z1,08,02,939377  ,1951516 ,126.81358786,37.5610069
2014,2014050913,1,6,1,1,0,0,0,1111,1100,02,24,25,05 ,01,05,07,02,939337  ,1951520 ,126.81313466,37.56104032
2014,2014051003,2,7,1,1,0,0,0,1111,1100,02,22,22,03 ,02,06,01,05,941513  ,1952546 ,126.83768932,37.57042838
2014,2014052518,2,1,1,1,0,0,0,1111,1100,02,24,25,05 ,02,06,07,02,942302  ,1951525 ,126.84670384,37.56127592
2014,2014061615,1,2,1,1,0,0,0,1111,1100,01,15,05,05 ,01,05,01,12,938428  ,1954768 ,126.80257347,37.59025566
2014,2014062204,2,1,1,1,0,0,0,1111,1100,01,11,01,05 ,01,Z1,01,12,942984  ,1951313 ,126.85444195,37.55940764
2014,2014073120,2,5,1,1,0,0,0,1111,1100,02,24,25,05 ,02,08,03,08,941859  ,1952561 ,126.84160601,37.57058549
2014,2014081318,2,4,1,1,0,0,0,1111,1100,01,15,05,05 ,02,08,03,12,939194  ,1951940 ,126.81148079,37.56481632
2014,2014081413,1,5,1,1,0,0,0,1111,1100,02,24,25,05 ,02,06,08,02,943794  ,1950435 ,126.86367986,37.55154399
2014,2014081906,1,3,1,2,1,0,0,1111,1100,01,15,05,05 ,01,Z1,02,12,945047  ,1949941 ,126.87790158,37.54716713
2014,2014091007,1,4,1,1,0,0,0,1111,1100,03,31,32,05 ,01,05,07,##,937940  ,1953941 ,126.79711296,37.58276742
2014,2014091119,2,5,1,1,0,0,0,1111,1100,02,22,22,05 ,02,06,05,02,942810  ,1950929 ,126.85250191,37.55593586
2014,2014092906,1,2,1,1,0,0,0,1111,1100,01,15,05,05 ,02,08,01,12,938998  ,1952268 ,126.80923429,37.56775959
2014,2014100200,2,5,1,1,0,0,0,1111,1100,02,24,25,03 ,02,06,05,01,940529  ,1951352 ,126.82664401,37.55960389
2014,2014100422,2,7,1,2,0,0,1,1111,1100,02,22,22,03 ,02,06,02,05,943842  ,1950412 ,126.86422501,37.55133962
2014,2014103123,2,6,1,2,1,0,0,1111,1100,02,24,25,05 ,02,08,02,07,940003  ,1949993 ,126.82079886,37.54731847
2014,2014111113,1,3,1,1,0,0,0,1111,1100,01,15,05,05 ,02,08,01,12,938339  ,1953482 ,126.8016715,37.57865373
2014,2014112422,2,2,1,1,0,0,0,1111,1100,01,15,05,05 ,01,05,02,12,939271  ,1951522 ,126.81238725,37.561054
2014,2014121403,2,1,2,3,1,0,0,1111,1100,01,15,05,05 ,01,05,01,12,942877  ,1947905 ,126.85349583,37.52868462
2014,2014121904,2,6,1,2,1,0,0,1111,1100,03,31,32,05 ,01,05,01,##,945014  ,1949943 ,126.87752787,37.54718319
2014,2014122807,1,1,1,2,1,0,0,1111,1100,01,12,02,05 ,01,05,05,12,941940  ,1949501 ,126.84276093,37.54301445
2014,2014010619,2,2,1,1,0,0,0,1112,1100,01,11,01,05 ,01,05,02,12,947105  ,1942835 ,126.90170738,37.48323741
2014,2014012005,2,2,1,1,0,0,0,1112,1100,01,13,03,05 ,01,05,03,12,945451  ,1943659 ,126.88294128,37.49057076
2014,2014012522,2,7,2,2,0,0,0,1112,1100,01,15,05,05 ,01,05,02,12,946100  ,1945818 ,126.89012413,37.51006828
2014,2014020320,2,2,1,1,0,0,0,1112,1100,01,11,01,05 ,01,Z2,01,12,946164  ,1942521 ,126.89108957,37.48035561
2014,2014020507,1,4,1,1,0,0,0,1112,1100,01,11,01,05 ,01,Z1,02,12,943404  ,1944378 ,126.85973157,37.49692798
2014,2014042302,2,4,1,1,0,0,0,1112,1100,01,11,01,01 ,01,05,01,12,945019  ,1944902 ,126.87796183,37.50174847
2014,2014042305,2,4,1,2,1,0,0,1112,1100,02,21,21,02 ,01,05,01,01,941406  ,1943962 ,126.83716278,37.49305388
2014,2014050207,1,6,2,6,3,1,0,1112,1100,02,23,Z1,01 ,01,05,01,01,940201  ,1942630 ,126.82364277,37.48096763
2014,2014061315,1,6,1,1,0,0,0,1112,1100,01,15,05,07 ,01,Z1,10,12,943080  ,1943396 ,126.85614237,37.48805718
2014,2014071307,1,1,1,1,0,0,0,1112,1100,02,21,21,03 ,02,06,02,07,945777  ,1942668 ,126.88670182,37.48165791
2014,2014072907,1,3,1,1,0,0,0,1112,1100,02,24,25,04 ,01,05,08,01,946434  ,1942809 ,126.89412228,37.48296711
2014,2014080519,2,3,1,1,0,0,0,1112,1100,01,15,05,05 ,02,08,01,12,940480  ,1944523 ,126.82664278,37.49805096
2014,2014082809,1,5,1,1,0,0,0,1112,1100,02,22,22,05 ,01,05,03,08,946802  ,1942455 ,126.89831347,37.47979502
2014,2014090109,1,2,1,4,1,2,0,1112,1100,02,24,25,05 ,01,05,03,01,945194  ,1946186 ,126.87984479,37.51332812
2014,2014091322,2,7,1,1,0,0,0,1112,1100,01,11,01,05 ,01,Z2,02,12,945987  ,1945080 ,126.88889419,37.50340904
2014,2014102319,2,5,1,1,0,0,0,1112,1100,01,11,01,05 ,01,05,01,12,945492  ,1945306 ,126.88328297,37.50541783
2014,2014111719,2,2,1,1,0,0,0,1112,1100,01,15,05,03 ,01,Z1,01,12,944733  ,1943724 ,126.87480919,37.49111028
2014,2014010105,2,4,2,2,0,0,0,1113,1100,02,24,25,01 ,01,05,01,01,946323  ,1949546 ,126.89237928,37.5436813
2014,2014012311,1,5,1,1,0,0,0,1113,1100,01,11,01,05 ,01,Z2,01,12,948480  ,1945999 ,126.91703522,37.511832
2014,2014021302,2,5,1,1,0,0,0,1113,1100,01,15,05,05 ,02,06,01,12,947583  ,1946524 ,126.90685301,37.51651701
2014,2014021815,1,3,1,1,0,0,0,1113,1100,01,15,05,05 ,02,08,01,12,949660  ,1946908 ,126.9303288,37.52009377
2014,2014022110,1,6,1,1,0,0,0,1113,1100,02,22,22,05 ,01,05,03,07,945606  ,1946769 ,126.88446217,37.51861256
2014,2014030103,2,7,1,4,2,1,0,1113,1100,02,22,22,05 ,01,05,01,01,948288  ,1946829 ,126.91480551,37.519304
2014,2014030321,2,2,1,1,0,0,0,1113,1100,01,11,01,03 ,01,Z1,02,12,947983  ,1944205 ,126.91154325,37.49563809
2014,2014030706,1,6,1,1,0,0,0,1113,1100,02,22,22,99 ,02,06,07,03,949744  ,1946769 ,126.93128885,37.51884551
2014,2014032108,1,6,1,1,0,0,0,1113,1100,01,11,01,05 ,02,06,03,12,947424  ,1944662 ,126.90518705,37.49972545
